"PDB","UniProt","Len.","Res.","ECOD ID","SCOPe ID","CATH ID","α%","β%","Coil%","Avg. RMSF","Avg. gyr.","Div. SE","Div. MM","NR domain"
"16pkA","P07378","415","1.6","[7532.1.1.1] [7533.1.1.1]","c.86.1.1","3.40.50.1260 3.40.50.1260","44","16","40","1.12","24.04","0.869","0.900","Yes"
"1a62A","P0AG30","130","1.55","2.1.1.42 [130.1.1.7]","a.140.3.1 b.40.4.5","1.10.720.10 2.40.50.140","34","26","40","1.37","16.04","0.829","0.847","Yes"
"1ab1A","P01542","46","0.89","[365.1.1.1]","g.13.1.1","3.30.1350.10","48","9","43","0.66","9.75","0.732","0.711","Yes"
"1ah7A","P09598","245","1.5","[177.1.1.2]","a.124.1.1","1.10.575.10","65","1","34","0.68","18.31","0.904","0.949","Yes"
"1ailA","P03495","73","1.9","[616.1.1.7]","a.16.1.1","1.10.287.10","82","0","18","1.42","13.60","0.757","0.813","Yes"
"1aolA","P03390","228","2.0","[712.1.1.1]","b.20.1.1","3.90.310.10","17","27","56","1.05","18.96","0.914","0.865","Yes"
"1b25D","Q8U1K3","619","1.85","169.1.1.1 806.1.1.1","a.110.1.1 d.152.1.1","1.10.569.10 1.10.599.10 3.60.9.10","45","13","42","0.62","23.36","0.975","0.976","No"
"1b2sE","P00648","90","1.82","[2489.1.1.1]","c.9.1.1","3.30.370.10","47","16","38","0.66","12.47","0.899","0.871","Yes"
"1b2sF","P00648","90","1.82","2489.1.1.1","c.9.1.1","3.30.370.10","49","17","34","0.64","12.49","0.944","0.895","No"
"1b8dK","O36005","164","1.9","106.1.1.4","a.1.1.3","1.10.490.20","78","0","22","2.30","19.57","0.716","0.789","No"
"1bgfA","P42228","124","1.45","[515.1.1.1]","a.90.1.1","1.10.532.10","71","0","29","1.23","15.35","0.808","0.744","Yes"
"1bkpA","P0CI79","278","1.7","266.1.1.1","d.117.1.1","3.30.572.10","35","26","39","0.86","19.35","0.945","0.892","No"
"1bq8A","P24297","54","1.1","[375.1.1.31]","g.41.5.1","2.20.28.10","11","26","63","0.89","10.27","0.666","0.853","Yes"
"1btkA","Q06187","169","1.6","220.1.1.13 398.1.1.1","b.55.1.1","2.30.29.30","17","33","50","1.10","16.57","0.894","0.872","No"
"1bx7A","P80302","55","1.2","[388.1.1.1]","g.3.15.1","2.10.22.10","0","22","78","1.79","13.32","0.661","0.536","Yes"
"1bxyA","P74909","60","1.9","[887.1.1.5]","d.59.1.1","3.30.1390.20","32","27","42","0.67","11.40","0.882","0.850","Yes"
